Store,Date,Time,Dept,Family,Item_No,SalesQty,Price,SalesValue,Sales_Status,Sales_number
H1,01/07/2009,14,GA,運動飲料,064,30,6,180,N,1
H1,01/07/2009,16,GA,運動飲料,634,30,6,180,N,1
H1,01/07/2009,16,GA,運動飲料,020,5,16,80,N,1
H1,01/07/2009,17,GA,運動飲料,186,30,5,150,P,1
H1,01/07/2009,17,GA,運動飲料,020,5,16,80,N,1
H1,01/07/2009,18,GA,運動飲料,152,8,10,80,N,1
H1,01/07/2009,19,GA,運動飲料,666,5,17,85,N,1
H1,01/07/2009,20,GA,運動飲料,522,5,16,80,N,1
H1,01/07/2009,20,GA,運動飲料,956,8,9,72,N,1
H1,01/07/2009,20,GA,運動飲料,876,5,15,75,N,3
H1,01/07/2009,21,GA,運動飲料,666,5,17,85,N,1
H1,01/07/2009,21,GA,運動飲料,254,1,36,36,N,1
H1,01/07/2009,21,GA,運動飲料,654,6,28,168,N,2
H1,01/08/2009,11,GA,運動飲料,956,15,10,150,N,1
H1,01/08/2009,11,GA,運動飲料,558,8,6,48,N,1
H1,01/08/2009,13,GA,運動飲料,610,5,17,85,N,1
H1,01/08/2009,14,GA,運動飲料,956,30,10,300,N,1
H1,01/08/2009,15,GA,運動飲料,254,3,24,72,N,1
H1,01/08/2009,15,GA,運動飲料,558,23,6,138,N,1
H1,01/08/2009,17,GA,運動飲料,634,30,6,180,N,1
H1,01/08/2009,18,GA,運動飲料,654,1,33,33,N,1
H1,01/08/2009,19,GA,運動飲料,254,1,36,36,N,1
H1,01/08/2009,19,GA,運動飲料,326,2,20,40,N,2
H1,01/08/2009,21,GA,運動飲料,634,30,6,180,N,1
H1,01/09/2009,11,GA,運動飲料,254,4,27,108,N,2
H1,01/09/2009,14,GA,運動飲料,254,3,24,72,N,1
H1,01/09/2009,15,GA,運動飲料,654,5,26,130,N,1
H1,01/09/2009,18,GA,運動飲料,254,1,36,36,N,1
H1,01/09/2009,19,GA,運動飲料,152,8,10,80,N,1
H1,01/09/2009,21,GA,運動飲料,186,30,6,180,N,1
H1,01/09/2009,23,GA,運動飲料,522,5,16,80,N,1
H1,01/09/2009,23,GA,運動飲料,666,5,17,85,N,1
H1,01/10/2009,10,GA,運動飲料,634,30,6,180,N,1
H1,01/10/2009,10,GA,運動飲料,186,30,6,180,N,1
H1,01/10/2009,11,GA,運動飲料,634,30,6,180,N,1
H1,01/10/2009,12,GA,運動飲料,654,3,22,66,N,1
H1,01/10/2009,13,GA,運動飲料,654,3,22,66,N,1
H1,01/10/2009,14,GA,運動飲料,186,30,6,180,N,1
H1,01/10/2009,14,GA,運動飲料,654,3,22,66,N,1
H1,01/10/2009,14,GA,運動飲料,274,1,28,28,N,1
H1,01/10/2009,15,GA,運動飲料,254,3,24,72,N,1
H1,01/10/2009,15,GA,運動飲料,956,30,10,300,N,1
H1,01/10/2009,16,GA,運動飲料,186,60,6,360,N,2
H1,01/10/2009,16,GA,運動飲料,654,1,33,33,N,1
H1,01/10/2009,16,GA,運動飲料,032,30,6,180,N,1
H1,01/10/2009,17,GA,運動飲料,634,30,6,180,N,1
H1,01/10/2009,17,GA,運動飲料,186,30,6,180,N,1
H1,01/10/2009,18,GA,運動飲料,666,5,17,85,N,1
H1,01/10/2009,18,GA,運動飲料,654,6,28,168,N,1
H1,01/10/2009,19,GA,運動飲料,666,5,17,85,N,1
H1,01/10/2009,19,GA,運動飲料,876,5,15,75,N,1
H1,01/10/2009,20,GA,運動飲料,254,4,27,108,N,1
H1,01/10/2009,20,GA,運動飲料,186,30,6,180,N,1
H1,01/10/2009,20,GA,運動飲料,558,8,6,48,N,1
H1,01/10/2009,21,GA,運動飲料,064,60,6,360,N,1
H1,01/10/2009,21,GA,運動飲料,522,5,16,80,N,1
H1,01/10/2009,21,GA,運動飲料,186,30,6,180,N,1
H1,01/10/2009,21,GA,運動飲料,654,4,25,100,N,1
H1,01/10/2009,22,GA,運動飲料,254,3,24,72,N,1
H1,01/10/2009,22,GA,運動飲料,654,3,22,66,N,1
H1,01/10/2009,22,GA,運動飲料,876,5,15,75,N,1
H1,01/10/2009,22,GA,運動飲料,020,5,16,80,N,1
H1,01/10/2009,23,GA,運動飲料,654,3,22,66,N,1
H1,01/11/2009,10,GA,運動飲料,274,1,28,28,N,1
H1,01/11/2009,10,GA,運動飲料,334,30,5,150,N,1
H1,01/11/2009,11,GA,運動飲料,254,1,36,36,N,1
H1,01/11/2009,11,GA,運動飲料,654,2,33,66,N,2
H1,01/11/2009,11,GA,運動飲料,558,8,6,48,N,1
H1,01/11/2009,11,GA,運動飲料,326,1,20,20,N,1
H1,01/11/2009,12,GA,運動飲料,020,5,16,80,N,1
H1,01/11/2009,13,GA,運動飲料,666,15,17,255,N,1
H1,01/11/2009,13,GA,運動飲料,654,3,22,66,N,1
H1,01/11/2009,14,GA,運動飲料,254,1,36,36,N,1
H1,01/11/2009,14,GA,運動飲料,654,2,33,66,N,2
H1,01/11/2009,14,GA,運動飲料,032,45,6,270,N,2
H1,01/11/2009,14,GA,運動飲料,020,5,16,80,N,1
H1,01/11/2009,14,GA,運動飲料,334,30,5,150,N,1
H1,01/11/2009,15,GA,運動飲料,254,1,36,36,N,1
H1,01/11/2009,15,GA,運動飲料,654,1,33,33,N,1
H1,01/11/2009,15,GA,運動飲料,032,30,6,180,N,1
H1,01/11/2009,15,GA,運動飲料,274,1,28,28,N,1
H1,01/11/2009,16,GA,運動飲料,254,1,36,36,N,1
H1,01/11/2009,16,GA,運動飲料,186,30,6,180,N,1
H1,01/11/2009,17,GA,運動飲料,876,5,15,75,N,1
H1,01/11/2009,19,GA,運動飲料,666,5,17,85,N,1
H1,01/11/2009,19,GA,運動飲料,186,30,6,180,N,1
H1,01/11/2009,19,GA,運動飲料,654,3,22,66,N,1
H1,01/11/2009,20,GA,運動飲料,956,15,10,150,N,1
H1,01/11/2009,21,GA,運動飲料,654,3,22,66,N,1
H1,01/11/2009,21,GA,運動飲料,958,8,4,32,N,1
H1,01/11/2009,21,GA,運動飲料,186,5,9,45,P,1
H1,01/12/2009,11,GA,運動飲料,876,15,15,225,N,1
H1,01/12/2009,12,GA,運動飲料,654,1,33,33,N,1
H1,01/12/2009,12,GA,運動飲料,876,10,15,150,N,1
H1,01/12/2009,15,GA,運動飲料,558,8,6,48,N,1
H1,01/12/2009,16,GA,運動飲料,956,8,9,72,N,1
H1,01/12/2009,18,GA,運動飲料,254,1,36,36,N,1
H1,01/12/2009,18,GA,運動飲料,654,1,33,33,N,1
H1,01/12/2009,18,GA,運動飲料,876,5,15,75,N,1
H1,01/12/2009,18,GA,運動飲料,020,5,16,80,N,1
H1,01/12/2009,20,GA,運動飲料,876,5,15,75,N,1
H1,01/12/2009,21,GA,運動飲料,064,120,6,720,N,1
H1,01/12/2009,21,GA,運動飲料,654,1,33,33,N,1
H1,01/12/2009,21,GA,運動飲料,020,5,16,80,N,1
H1,01/13/2009,11,GA,運動飲料,020,5,16,80,N,1
H1,01/13/2009,15,GA,運動飲料,654,3,22,66,N,1
H1,01/13/2009,16,GA,運動飲料,064,30,6,180,P,1
H1,01/13/2009,16,GA,運動飲料,274,1,28,28,N,1
H1,01/13/2009,20,GA,運動飲料,666,10,17,170,N,1
H1,01/13/2009,20,GA,運動飲料,610,5,17,85,N,1
H1,01/13/2009,21,GA,運動飲料,956,8,9,72,N,1
H1,01/13/2009,21,GA,運動飲料,876,5,15,75,N,1
H1,01/14/2009,13,GA,運動飲料,666,5,17,85,N,1
H1,01/14/2009,16,GA,運動飲料,254,1,32,32,P,1
H1,01/14/2009,17,GA,運動飲料,666,5,17,85,N,1
H1,01/14/2009,17,GA,運動飲料,254,1,32,32,P,1
H1,01/14/2009,17,GA,運動飲料,876,10,15,150,N,1
H1,01/14/2009,17,GA,運動飲料,958,8,4,32,N,1
H1,01/14/2009,18,GA,運動飲料,254,1,32,32,P,1
H1,01/14/2009,19,GA,運動飲料,558,15,6,90,N,1
H1,01/14/2009,19,GA,運動飲料,322,1,21,21,N,1
H1,01/14/2009,20,GA,運動飲料,610,10,17,170,N,1
H1,01/14/2009,21,GA,運動飲料,666,5,17,85,N,1
H1,01/14/2009,21,GA,運動飲料,956,8,9,72,N,1
H1,01/14/2009,21,GA,運動飲料,876,5,15,75,N,1
H1,01/15/2009,09,GA,運動飲料,634,30,5,150,P,1
H1,01/15/2009,12,GA,運動飲料,558,8,6,48,N,1
H1,01/15/2009,13,GA,運動飲料,020,5,16,80,N,1
H1,01/15/2009,17,GA,運動飲料,522,5,16,80,N,1
H1,01/15/2009,18,GA,運動飲料,254,1,32,32,P,1
H1,01/15/2009,18,GA,運動飲料,020,5,16,80,N,1
H1,01/15/2009,19,GA,運動飲料,152,8,8,64,P,1
H1,01/15/2009,19,GA,運動飲料,032,60,4,240,P,1
H1,01/15/2009,20,GA,運動飲料,186,30,6,180,N,1
H1,01/15/2009,20,GA,運動飲料,654,3,22,66,N,1
H1,01/15/2009,20,GA,運動飲料,876,5,15,75,N,1
H1,01/15/2009,21,GA,運動飲料,064,60,6,360,P,1
H1,01/16/2009,00,GA,運動飲料,876,5,15,75,N,1
H1,01/16/2009,01,GA,運動飲料,610,5,17,85,N,1
H1,01/16/2009,10,GA,運動飲料,634,60,5,300,P,3
H1,01/16/2009,10,GA,運動飲料,064,30,6,180,P,1
H1,01/16/2009,10,GA,運動飲料,956,30,10,300,N,2
H1,01/16/2009,10,GA,運動飲料,032,30,4,120,P,1
H1,01/16/2009,11,GA,運動飲料,032,30,4,120,P,1
H1,01/16/2009,12,GA,運動飲料,666,5,17,85,N,1
H1,01/16/2009,12,GA,運動飲料,032,30,4,120,P,1
H1,01/16/2009,13,GA,運動飲料,032,30,4,120,P,1
H1,01/16/2009,15,GA,運動飲料,654,6,22,132,N,2
H1,01/16/2009,15,GA,運動飲料,388,5,14,70,N,1
H1,01/16/2009,17,GA,運動飲料,186,30,6,180,N,1
H1,01/16/2009,17,GA,運動飲料,032,90,4,360,P,3
H1,01/16/2009,18,GA,運動飲料,634,30,5,150,P,1
H1,01/16/2009,18,GA,運動飲料,654,4,25,100,N,1
H1,01/16/2009,18,GA,運動飲料,166,1,21,21,N,1
H1,01/16/2009,19,GA,運動飲料,634,30,5,150,P,1
H1,01/16/2009,19,GA,運動飲料,654,1,33,33,N,1
H1,01/16/2009,19,GA,運動飲料,956,8,9,72,N,1
H1,01/16/2009,20,GA,運動飲料,186,30,6,180,N,1
H1,01/16/2009,21,GA,運動飲料,522,5,16,80,N,1
H1,01/16/2009,21,GA,運動飲料,654,3,22,66,N,1
H1,01/16/2009,21,GA,運動飲料,032,30,4,120,P,1
H1,01/16/2009,21,GA,運動飲料,876,5,15,75,N,1
H1,01/16/2009,22,GA,運動飲料,064,30,6,180,P,1
H1,01/16/2009,22,GA,運動飲料,654,1,33,33,N,1
H1,01/17/2009,00,GA,運動飲料,254,3,21,63,P,1
H1,01/17/2009,00,GA,運動飲料,032,30,4,120,P,1
H1,01/17/2009,01,GA,運動飲料,254,1,32,32,P,1
H1,01/17/2009,08,GA,運動飲料,032,120,4,480,P,1
H1,01/17/2009,09,GA,運動飲料,654,1,33,33,N,1
H1,01/17/2009,10,GA,運動飲料,558,8,6,48,N,1
H1,01/17/2009,11,GA,運動飲料,654,1,33,33,N,1
H1,01/17/2009,12,GA,運動飲料,020,5,16,80,N,1
H1,01/17/2009,14,GA,運動飲料,666,5,17,85,N,1
H1,01/17/2009,14,GA,運動飲料,876,5,15,75,N,1
H1,01/17/2009,14,GA,運動飲料,958,8,4,32,N,1
H1,01/17/2009,15,GA,運動飲料,032,150,4,600,P,2
H1,01/17/2009,18,GA,運動飲料,654,1,33,33,N,1
H1,01/17/2009,18,GA,運動飲料,032,30,4,120,P,1
H1,01/17/2009,19,GA,運動飲料,152,15,9,135,P,1
H1,01/17/2009,19,GA,運動飲料,254,1,32,32,P,1
H1,01/17/2009,19,GA,運動飲料,166,1,21,21,N,1
H1,01/17/2009,20,GA,運動飲料,186,30,6,180,N,1
H1,01/17/2009,20,GA,運動飲料,956,16,9,144,N,2
H1,01/17/2009,21,GA,運動飲料,254,1,32,32,P,1
H1,01/17/2009,21,GA,運動飲料,876,5,15,75,N,1
H1,01/17/2009,21,GA,運動飲料,020,5,16,80,N,1
H1,01/17/2009,22,GA,運動飲料,956,30,10,300,N,1
H1,01/17/2009,22,GA,運動飲料,388,10,14,140,N,2
H1,01/18/2009,00,GA,運動飲料,032,30,4,120,P,1
H1,01/18/2009,01,GA,運動飲料,956,8,9,72,N,1
H1,01/18/2009,01,GA,運動飲料,032,30,4,120,P,1
H1,01/18/2009,09,GA,運動飲料,020,5,16,80,N,1
H1,01/18/2009,10,GA,運動飲料,032,180,4,720,P,1
H1,01/18/2009,10,GA,運動飲料,020,5,16,80,N,1
H1,01/18/2009,11,GA,運動飲料,186,30,6,180,N,1
H1,01/18/2009,12,GA,運動飲料,666,5,17,85,N,1
H1,01/18/2009,12,GA,運動飲料,254,1,32,32,P,1
H1,01/18/2009,12,GA,運動飲料,186,60,6,360,N,1
H1,01/18/2009,12,GA,運動飲料,032,30,4,120,P,1
H1,01/18/2009,13,GA,運動飲料,654,1,33,33,N,1
H1,01/18/2009,13,GA,運動飲料,032,30,4,120,P,1
H1,01/18/2009,14,GA,運動飲料,522,10,16,160,N,2
H1,01/18/2009,14,GA,運動飲料,186,30,6,180,N,1
H1,01/18/2009,14,GA,運動飲料,668,11,9,99,N,2
H1,01/18/2009,14,GA,運動飲料,032,60,4,240,P,1
H1,01/18/2009,14,GA,運動飲料,876,10,15,150,N,2
H1,01/18/2009,15,GA,運動飲料,654,4,25,100,N,1
H1,01/18/2009,15,GA,運動飲料,956,8,9,72,N,1
H1,01/18/2009,15,GA,運動飲料,032,360,4,1440,P,3
H1,01/18/2009,16,GA,運動飲料,634,60,5,300,P,1
H1,01/18/2009,16,GA,運動飲料,152,8,8,64,P,1
H1,01/18/2009,16,GA,運動飲料,254,1,32,32,P,1
H1,01/18/2009,16,GA,運動飲料,186,30,6,180,N,1
H1,01/18/2009,16,GA,運動飲料,654,3,22,66,N,1
H1,01/18/2009,16,GA,運動飲料,032,60,4,240,P,1
H1,01/18/2009,16,GA,運動飲料,876,5,15,75,N,1
H1,01/18/2009,17,GA,運動飲料,152,8,8,64,P,1
H1,01/18/2009,17,GA,運動飲料,254,1,32,32,P,1
H1,01/18/2009,17,GA,運動飲料,654,2,33,66,N,2
H1,01/18/2009,17,GA,運動飲料,032,60,4,240,P,1
H1,01/18/2009,18,GA,運動飲料,668,1,13,13,N,1
H1,01/18/2009,18,GA,運動飲料,558,8,6,48,N,1
H1,01/18/2009,19,GA,運動飲料,634,30,5,150,P,1
H1,01/18/2009,19,GA,運動飲料,186,30,6,180,N,1
H1,01/18/2009,19,GA,運動飲料,654,4,25,100,N,2
H1,01/18/2009,20,GA,運動飲料,634,30,5,150,P,1
H1,01/18/2009,20,GA,運動飲料,666,10,17,170,N,2
H1,01/18/2009,20,GA,運動飲料,254,3,21,63,P,1
H1,01/18/2009,21,GA,運動飲料,634,30,5,150,P,1
H1,01/18/2009,21,GA,運動飲料,254,5,26,130,P,2
H1,01/18/2009,21,GA,運動飲料,186,30,6,180,N,1
H1,01/18/2009,21,GA,運動飲料,274,1,28,28,N,1
H1,01/18/2009,21,GA,運動飲料,186,10,9,90,P,1
H1,01/18/2009,22,GA,運動飲料,522,5,16,80,N,1
H1,01/18/2009,22,GA,運動飲料,020,5,16,80,N,1
H1,01/19/2009,00,GA,運動飲料,654,4,25,100,N,1
H1,01/19/2009,00,GA,運動飲料,032,90,4,360,P,1
H1,01/19/2009,01,GA,運動飲料,654,1,33,33,N,1
H1,01/19/2009,01,GA,運動飲料,032,30,4,120,P,1
H1,01/19/2009,02,GA,運動飲料,634,30,5,150,P,1
H1,01/19/2009,02,GA,運動飲料,032,30,4,120,P,1
H1,01/19/2009,08,GA,運動飲料,654,1,33,33,N,1
H1,01/19/2009,09,GA,運動飲料,634,30,5,150,P,1
H1,01/19/2009,10,GA,運動飲料,186,30,6,180,N,1
H1,01/19/2009,11,GA,運動飲料,254,1,32,32,P,1
H1,01/19/2009,11,GA,運動飲料,498,30,9,270,N,1
H1,01/19/2009,12,GA,運動飲料,254,1,32,32,P,1
H1,01/19/2009,12,GA,運動飲料,654,1,33,33,N,1
H1,01/19/2009,13,GA,運動飲料,186,90,6,540,N,2
H1,01/19/2009,13,GA,運動飲料,654,1,33,33,N,1
H1,01/19/2009,14,GA,運動飲料,064,30,6,180,P,2
H1,01/19/2009,14,GA,運動飲料,956,30,10,300,N,1
H1,01/19/2009,15,GA,運動飲料,654,1,33,33,N,1
H1,01/19/2009,15,GA,運動飲料,032,30,4,120,P,1
H1,01/19/2009,16,GA,運動飲料,254,5,26,130,P,1
H1,01/19/2009,16,GA,運動飲料,186,30,6,180,N,1
H1,01/19/2009,16,GA,運動飲料,020,6,17,102,N,2
